type,date,Petroleum,Natural Gas,Coal,Electricity
val1,1/1/15,68.200005,251.826675,0,720.800232
val1,1/1/16,59.491112,242.145721,0,675.406311
val1,1/1/17,66.737785,252.840408,0,673.119385
val1,1/1/18,64.79966,255.377884,0,670.120544
val1,1/1/19,63.195843,254.800827,0,676.888184
val1,1/1/20,61.895054,254.395065,0,669.280884
val1,1/1/21,60.795898,254.211975,0,645.936584
val1,1/1/22,59.743866,254.262573,0,618.20813
val1,1/1/23,58.7477,254.413925,0,605.054688
val1,1/1/24,57.856941,254.593765,0,596.800842
val1,1/1/25,56.994255,254.57489,0,589.319885
val1,1/1/26,56.14468,254.428635,0,579.787109
val1,1/1/27,55.312717,253.828247,0,569.74176
val1,1/1/28,54.516582,253.229645,0,561.893555
val1,1/1/29,53.749889,252.753922,0,554.219727
val1,1/1/30,52.97049,252.492493,0,546.077576
val1,1/1/31,52.168102,252.202255,0,544.612915
val1,1/1/32,51.354595,251.80072,0,543.051392
val1,1/1/33,50.637878,251.437439,0,542.367981
val1,1/1/34,49.970192,251.073105,0,542.11322
val1,1/1/35,49.342216,250.475037,0,542.817749
val1,1/1/36,48.687607,249.902679,0,543.352234
val1,1/1/37,48.077972,249.410492,0,542.514893
val1,1/1/38,47.492264,249.070328,0,541.163696
val1,1/1/39,46.906948,248.793411,0,540.508301
val1,1/1/40,46.360645,248.728592,0,538.721375
val1,1/1/41,45.844662,248.736359,0,537.644592
val1,1/1/42,45.355858,248.701447,0,536.608032
val1,1/1/43,44.883358,248.653778,0,535.685181
val1,1/1/44,44.423347,248.648224,0,533.979187
val1,1/1/45,43.985073,248.672562,0,532.431519
val1,1/1/46,43.542511,248.734879,0,531.640076
val1,1/1/47,43.095547,248.837234,0,530.340149
val1,1/1/48,42.655277,248.842087,0,528.326721
val1,1/1/49,42.23317,248.886612,0,525.395447
val1,1/1/50,41.811718,248.911911,0,522.906555
val2,1/1/15,39.82,174.753342,2.97,699.449829
val2,1/1/16,51.649937,171.200684,3.378612,651.592468
val2,1/1/17,51.657265,176.457672,3.553779,647.277466
val2,1/1/18,50.251324,176.082138,3.727852,640.044189
val2,1/1/19,50.140335,173.693497,3.898826,647.849731
val2,1/1/20,50.838833,171.499588,4.069043,646.664307
val2,1/1/21,51.849419,170.53302,4.242608,627.724976
val2,1/1/22,51.768208,170.77562,4.241593,602.362488
val2,1/1/23,51.584423,171.107986,4.241659,591.161011
val2,1/1/24,51.499363,171.429825,4.242242,584.188782
val2,1/1/25,51.311066,171.746643,4.241072,577.124146
val2,1/1/26,51.157257,172.130188,4.240168,567.562744
val2,1/1/27,51.136768,172.125702,4.240866,557.656982
val2,1/1/28,51.26741,172.297714,4.240911,549.808594
val2,1/1/29,51.269897,172.711945,4.241617,542.516541
val2,1/1/30,51.137165,173.449265,4.240922,534.279053
val2,1/1/31,50.922981,174.304871,4.241912,532.773315
val2,1/1/32,50.709644,175.301727,4.242957,531.547791
val2,1/1/33,50.873539,176.462418,4.243197,531.09729
val2,1/1/34,50.825459,177.604401,4.243101,530.970337
val2,1/1/35,50.896454,178.505081,4.243522,532.032166
val2,1/1/36,50.686466,179.50914,4.243254,533.057556
val2,1/1/37,50.762138,180.599838,4.243881,533.071472
val2,1/1/38,50.808975,181.856842,4.244102,532.620605
val2,1/1/39,50.743713,183.153854,4.244316,533.278381
val2,1/1/40,50.785934,184.664825,4.244159,533.152771
val2,1/1/41,50.820263,186.227203,4.244616,534.559021
val2,1/1/42,51.013828,187.765442,4.244324,536.278503
val2,1/1/43,51.162102,189.299896,4.243484,538.480896
val2,1/1/44,51.295414,190.940231,4.242464,540.117554
val2,1/1/45,51.439034,192.555603,4.241513,542.098083
val2,1/1/46,51.499027,194.189667,4.240549,545.32782
val2,1/1/47,51.520767,195.882004,4.23912,548.459167
val2,1/1/48,51.618053,197.495316,4.237945,551.607483
val2,1/1/49,51.697628,199.173523,4.236521,554.185364
val2,1/1/50,51.691833,200.825974,4.235072,557.660889
val3,1/1/15,341.513336,475.970001,126.646667,493.561615
val3,1/1/16,376.38681,484.161255,122.063362,453.221649
val3,1/1/17,374.06012,490.270599,121.216751,460.656982
val3,1/1/18,394.635254,505.241028,116.723793,468.207916
val3,1/1/19,398.600037,519.536987,116.740776,487.201508
val3,1/1/20,399.389099,528.29834,117.456215,495.525879
val3,1/1/21,401.63562,536.872986,119.52636,491.336365
val3,1/1/22,405.749176,546.651855,119.900024,482.109344
val3,1/1/23,409.973541,555.120239,119.633316,481.743713
val3,1/1/24,412.874969,561.002747,117.991074,480.008728
val3,1/1/25,413.725739,565.145569,116.32505,474.381561
val3,1/1/26,414.565674,569.013977,115.203384,465.9711
val3,1/1/27,414.822235,563.316223,113.803322,457.042328
val3,1/1/28,414.170776,564.57074,112.235374,447.626801
val3,1/1/29,415.248993,565.811523,110.318817,439.241058
val3,1/1/30,417.001984,567.842773,108.837051,431.22168
val3,1/1/31,417.55954,568.539917,106.279205,428.268341
val3,1/1/32,417.422516,572.162048,104.183289,425.742676
val3,1/1/33,416.900879,575.966431,103.171654,424.898651
val3,1/1/34,418.401794,581.20343,101.814857,425.211243
val3,1/1/35,419.766815,586.121948,100.061279,425.679718
val3,1/1/36,421.163513,591.688599,98.89682,425.702423
val3,1/1/37,422.712891,596.160645,97.789963,425.078064
val3,1/1/38,424.077271,599.959412,96.958824,424.608856
val3,1/1/39,426.820618,605.491211,95.490005,424.206268
val3,1/1/40,427.926056,609.546692,94.408295,423.314697
val3,1/1/41,428.596924,612.865295,93.00737,423.088013
val3,1/1/42,429.673401,615.80188,92.053246,422.894012
val3,1/1/43,431.422882,618.561401,91.20092,423.413269
val3,1/1/44,433.315277,622.996704,90.719414,423.247498
val3,1/1/45,435.101776,627.236633,90.091599,423.042175
val3,1/1/46,436.653473,631.857117,89.543694,423.62207
val3,1/1/47,438.017426,636.248047,88.800659,423.692169
val3,1/1/48,439.286011,639.612549,88.064232,423.871552
val3,1/1/49,440.749084,645.065186,87.741615,423.90976
val3,1/1/50,444.093658,650.701782,87.137604,425.025604
val4,1/1/15,1820.243164,38.646667,0,4.734933
val4,1/1/16,1820.838013,40.437096,0,5.081411
val4,1/1/17,1820.034668,39.196613,0,5.779992
val4,1/1/18,1829.946167,40.612083,0,6.434586
val4,1/1/19,1830.238525,41.524696,0,7.60793
val4,1/1/20,1820.935669,42.438721,0,9.026864
val4,1/1/21,1812.256836,42.661591,0,10.5871
val4,1/1/22,1799.003174,43.18829,0,12.162561
val4,1/1/23,1779.796753,44.032051,0,14.058205
val4,1/1/24,1756.524658,45.184471,0,16.069611
val4,1/1/25,1729.19397,46.410797,0,18.089144
val4,1/1/26,1703.865356,47.453941,0,19.927225
val4,1/1/27,1682.391113,48.380299,0,21.513464
val4,1/1/28,1664.764526,49.467514,0,22.957258
val4,1/1/29,1649.25647,50.512581,0,24.235386
val4,1/1/30,1634.417114,51.505959,0,25.442198
val4,1/1/31,1621.192505,52.210678,0,26.80755
val4,1/1/32,1609.795532,53.119186,0,28.03438
val4,1/1/33,1603.511475,54.024803,0,29.217123
val4,1/1/34,1600.3302,55.202499,0,30.345705
val4,1/1/35,1599.288452,56.465145,0,31.450703
val4,1/1/36,1599.69043,57.391403,0,32.491112
val4,1/1/37,1602.629395,58.455841,0,33.37344
val4,1/1/38,1608.5354,59.505859,0,34.145309
val4,1/1/39,1614.044434,60.605003,0,34.913761
val4,1/1/40,1619.441406,61.460461,0,35.615841
val4,1/1/41,1626.797852,62.507572,0,36.327724
val4,1/1/42,1636.598877,63.509617,0,37.014027
val4,1/1/43,1648.350708,64.506104,0,37.673748
val4,1/1/44,1660.239258,65.59375,0,38.236301
val4,1/1/45,1672.006592,66.700516,0,38.74559
val4,1/1/46,1684.376343,67.813049,0,39.290745
val4,1/1/47,1695.189819,68.969109,0,39.811291
val4,1/1/48,1707.025024,70.007057,0,40.295856
val4,1/1/49,1720.827271,71.09227,0,40.721661
val4,1/1/50,1735.481934,72.489967,0,41.207321
