key,value,date
Residential ,1041,2015
Commercial,917,2015
Industrial,1438,2015
Transportation,1864,2015
Residential ,977,2016
Commercial,878,2016
Industrial,1436,2016
Transportation,1866,2016
Residential ,993,2017
Commercial,879,2017
Industrial,1446,2017
Transportation,1865,2017
Residential ,990,2018
Commercial,870,2018
Industrial,1485,2018
Transportation,1877,2018
Residential ,995,2019
Commercial,876,2019
Industrial,1522,2019
Transportation,1879,2019
Residential ,986,2020
Commercial,873,2020
Industrial,1541,2020
Transportation,1872,2020
Residential ,961,2021
Commercial,854,2021
Industrial,1549,2021
Transportation,1866,2021
Residential ,932,2022
Commercial,829,2022
Industrial,1554,2022
Transportation,1854,2022
Residential ,918,2023
Commercial,818,2023
Industrial,1566,2023
Transportation,1838,2023
Residential ,909,2024
Commercial,811,2024
Industrial,1572,2024
Transportation,1818,2024
Residential ,901,2025
Commercial,804,2025
Industrial,1570,2025
Transportation,1794,2025
Residential ,890,2026
Commercial,795,2026
Industrial,1565,2026
Transportation,1771,2026
Residential ,879,2027
Commercial,785,2027
Industrial,1549,2027
Transportation,1752,2027
Residential ,870,2028
Commercial,778,2028
Industrial,1539,2028
Transportation,1737,2028
Residential ,861,2029
Commercial,771,2029
Industrial,1531,2029
Transportation,1724,2029
Residential ,852,2030
Commercial,763,2030
Industrial,1525,2030
Transportation,1711,2030
Residential ,849,2031
Commercial,762,2031
Industrial,1521,2031
Transportation,1700,2031
Residential ,846,2032
Commercial,762,2032
Industrial,1520,2032
Transportation,1691,2032
Residential ,844,2033
Commercial,763,2033
Industrial,1521,2033
Transportation,1687,2033
Residential ,843,2034
Commercial,764,2034
Industrial,1527,2034
Transportation,1686,2034
Residential ,843,2035
Commercial,766,2035
Industrial,1532,2035
Transportation,1687,2035
Residential ,842,2036
Commercial,767,2036
Industrial,1537,2036
Transportation,1690,2036
Residential ,840,2037
Commercial,769,2037
Industrial,1542,2037
Transportation,1694,2037
Residential ,838,2038
Commercial,770,2038
Industrial,1546,2038
Transportation,1702,2038
Residential ,836,2039
Commercial,771,2039
Industrial,1552,2039
Transportation,1710,2039
Residential ,834,2040
Commercial,773,2040
Industrial,1555,2040
Transportation,1717,2040
Residential ,832,2041
Commercial,776,2041
Industrial,1558,2041
Transportation,1726,2041
Residential ,831,2042
Commercial,779,2042
Industrial,1560,2042
Transportation,1737,2042
Residential ,829,2043
Commercial,783,2043
Industrial,1565,2043
Transportation,1751,2043
Residential ,827,2044
Commercial,787,2044
Industrial,1570,2044
Transportation,1764,2044
Residential ,825,2045
Commercial,790,2045
Industrial,1575,2045
Transportation,1777,2045
Residential ,824,2046
Commercial,795,2046
Industrial,1582,2046
Transportation,1791,2046
Residential ,822,2047
Commercial,800,2047
Industrial,1587,2047
Transportation,1804,2047
Residential ,820,2048
Commercial,805,2048
Industrial,1591,2048
Transportation,1817,2048
Residential ,817,2049
Commercial,809,2049
Industrial,1597,2049
Transportation,1833,2049
Residential ,814,2050
Commercial,814,2050
Industrial,1607,2050
Transportation,1849,2050
